"t","T","alpha","beta","dbeta_dt","dalpha_dt","sign_beta"
250,30.84,0.98888,-0.000200000000000031,-1.1999999999999e-05,1.2000000000012e-06,-1
300,30.83,0.98894,-0.000799999999999983,-4.00000000000062e-06,2.19999999999887e-06,-1
350,30.79,0.98905,-0.00100000000000001,-3.99999999999921e-06,3.20000000000098e-06,-1
400,30.74,0.98921,-0.00119999999999997,-1.20000000000005e-05,4.39999999999996e-06,-1
450,30.68,0.98943,-0.0018,-4.00000000000062e-06,5.19999999999854e-06,-1
500,30.59,0.98969,-0.00200000000000003,-7.99999999999842e-06,6.34000000000023e-06,-1
550,30.49,0.990007,-0.00239999999999995,-4.00000000000204e-06,7.09999999999988e-06,-1
600,30.37,0.990362,-0.00260000000000005,-7.99999999999841e-06,7.7600000000011e-06,-1
650,30.24,0.99075,-0.00299999999999997,-4.00000000000063e-06,8.36000000000059e-06,-1
700,30.09,0.991168,-0.0032,-7.99999999999983e-06,8.77999999999934e-06,-1
750,29.93,0.991607,-0.00359999999999999,-4.00000000000063e-06,9.09999999999966e-06,-1
800,29.75,0.992062,-0.00380000000000003,-3.99999999999921e-06,9.30000000000097e-06,-1
850,29.56,0.992527,-0.00399999999999999,-4.00000000000062e-06,9.37999999999883e-06,-1
900,29.36,0.992996,-0.00420000000000002,-3.9999999999992e-06,9.2800000000004e-06,-1
950,29.15,0.99346,-0.00439999999999998,0,9.06000000000073e-06,-1
1000,28.93,0.993913,-0.00439999999999998,-1.42247325030098e-18,8.69999999999926e-06,-1
1050,28.71,0.994348,-0.00440000000000005,-3.99999999999779e-06,8.25999999999993e-06,-1
1100,28.49,0.994761,-0.00459999999999994,-1.42247325030098e-18,7.8200000000006e-06,-1
1150,28.26,0.995152,-0.00460000000000001,0,7.34000000000012e-06,-1
1200,28.03,0.995519,-0.00460000000000001,0,6.88000000000022e-06,-1
1250,27.8,0.995863,-0.00460000000000001,0,6.41999999999809e-06,-1
1300,27.57,0.996184,-0.00460000000000001,4.00000000000064e-06,5.98000000000098e-06,-1
1350,27.34,0.996483,-0.00439999999999998,-4.00000000000064e-06,5.51999999999886e-06,-1
1400,27.12,0.996759,-0.00460000000000001,4.00000000000064e-06,5.1000000000001e-06,-1
1450,26.89,0.997014,-0.00439999999999998,3.9999999999992e-06,4.6400000000002e-06,-1
1500,26.67,0.997246,-0.00420000000000002,0,4.2399999999998e-06,-1
1550,26.46,0.997458,-0.00420000000000002,4.00000000000062e-06,3.85999999999997e-06,-1
1600,26.25,0.997651,-0.00399999999999999,0,3.5200000000013e-06,-1
