"t","T","alpha","beta","dbeta_dt","dalpha_dt","sign_beta"
50,30.8,0.98902,0.00019999999999996,4.00000000000062e-06,-8.000000000008e-07,1
100,30.81,0.98898,0.000399999999999991,-3.9999999999992e-06,-1.19999999999898e-06,1
150,30.83,0.98892,0.000200000000000031,-4.00000000000062e-06,-8.000000000008e-07,1
250,30.84,0.98888,-0.000200000000000031,-1.1999999999999e-05,1.2000000000012e-06,-1
300,30.83,0.98894,-0.000799999999999983,-4.00000000000062e-06,2.19999999999887e-06,-1
350,30.79,0.98905,-0.00100000000000001,-3.99999999999921e-06,3.20000000000098e-06,-1
400,30.74,0.98921,-0.00119999999999997,-1.20000000000005e-05,4.39999999999996e-06,-1
450,30.68,0.98943,-0.0018,-4.00000000000062e-06,5.19999999999854e-06,-1
500,30.59,0.98969,-0.00200000000000003,-7.99999999999842e-06,6.34000000000023e-06,-1
550,30.49,0.990007,-0.00239999999999995,-4.00000000000204e-06,7.09999999999988e-06,-1
600,30.37,0.990362,-0.00260000000000005,-7.99999999999841e-06,7.7600000000011e-06,-1
650,30.24,0.99075,-0.00299999999999997,-4.00000000000063e-06,8.36000000000059e-06,-1
700,30.09,0.991168,-0.0032,-7.99999999999983e-06,8.77999999999934e-06,-1
750,29.93,0.991607,-0.00359999999999999,-4.00000000000063e-06,9.09999999999966e-06,-1
800,29.75,0.992062,-0.00380000000000003,-3.99999999999921e-06,9.30000000000097e-06,-1
850,29.56,0.992527,-0.00399999999999999,-4.00000000000062e-06,9.37999999999883e-06,-1
900,29.36,0.992996,-0.00420000000000002,-3.9999999999992e-06,9.2800000000004e-06,-1
950,29.15,0.99346,-0.00439999999999998,0,9.06000000000073e-06,-1
1000,28.93,0.993913,-0.00439999999999998,-1.42247325030098e-18,8.69999999999926e-06,-1
1050,28.71,0.994348,-0.00440000000000005,-3.99999999999779e-06,8.25999999999993e-06,-1
1100,28.49,0.994761,-0.00459999999999994,-1.42247325030098e-18,7.8200000000006e-06,-1
1150,28.26,0.995152,-0.00460000000000001,0,7.34000000000012e-06,-1
1200,28.03,0.995519,-0.00460000000000001,0,6.88000000000022e-06,-1
1250,27.8,0.995863,-0.00460000000000001,0,6.41999999999809e-06,-1
1300,27.57,0.996184,-0.00460000000000001,4.00000000000064e-06,5.98000000000098e-06,-1
1350,27.34,0.996483,-0.00439999999999998,-4.00000000000064e-06,5.51999999999886e-06,-1
1400,27.12,0.996759,-0.00460000000000001,4.00000000000064e-06,5.1000000000001e-06,-1
1450,26.89,0.997014,-0.00439999999999998,3.9999999999992e-06,4.6400000000002e-06,-1
1500,26.67,0.997246,-0.00420000000000002,0,4.2399999999998e-06,-1
1550,26.46,0.997458,-0.00420000000000002,4.00000000000062e-06,3.85999999999997e-06,-1
1600,26.25,0.997651,-0.00399999999999999,0,3.5200000000013e-06,-1
1650,26.05,0.997827,-0.00399999999999999,3.99999999999921e-06,3.1800000000004e-06,-1
1700,25.85,0.997986,-0.00380000000000003,0,2.89999999999901e-06,-1
1750,25.66,0.998131,-0.00380000000000003,4.00000000000063e-06,2.64000000000042e-06,-1
1800,25.47,0.998263,-0.00359999999999999,4.00000000000063e-06,2.40000000000018e-06,-1
1850,25.29,0.998383,-0.00339999999999996,-1.42247325030098e-18,2.19999999999887e-06,-1
1900,25.12,0.998493,-0.00340000000000003,1.42247325030098e-18,1.99999999999978e-06,-1
1950,24.95,0.998593,-0.00339999999999996,3.9999999999992e-06,1.82000000000126e-06,-1
2000,24.78,0.998684,-0.0032,3.9999999999992e-06,1.65999999999888e-06,-1
2050,24.62,0.998767,-0.00300000000000004,1.42247325030098e-18,1.53999999999987e-06,-1
2100,24.47,0.998844,-0.00299999999999997,3.9999999999992e-06,1.40000000000029e-06,-1
2150,24.32,0.998914,-0.00280000000000001,-3.9999999999992e-06,1.29999999999963e-06,-1
2200,24.18,0.998979,-0.00299999999999997,7.99999999999841e-06,1.20200000000015e-06,-1
2250,24.03,0.9990391,-0.00260000000000005,1.42247325030098e-18,1.10200000000171e-06,-1
2300,23.9,0.9990942,-0.00259999999999998,0,1.01599999999813e-06,-1
2350,23.77,0.999145,-0.00259999999999998,0,9.34000000001323e-07,-1
2400,23.64,0.9991917,-0.00259999999999998,3.9999999999992e-06,8.60000000000305e-07,-1
2450,23.51,0.9992347,-0.00240000000000002,4.00000000000063e-06,7.95999999998465e-07,-1
2500,23.39,0.9992745,-0.00219999999999999,0,7.34000000000012e-07,-1
2550,23.28,0.9993112,-0.00219999999999999,-1.42247325030098e-18,6.78000000000623e-07,-1
2600,23.17,0.9993451,-0.00220000000000006,4.00000000000204e-06,6.28000000000295e-07,-1
2650,23.06,0.9993765,-0.00199999999999996,-4.00000000000062e-06,5.8399999999903e-07,-1
2700,22.96,0.9994057,-0.00219999999999999,7.99999999999983e-06,5.42000000001153e-07,-1
2750,22.85,0.9994328,-0.0018,-4.00000000000062e-06,5.0399999999895e-07,-1
2800,22.76,0.999458,-0.00200000000000003,4.00000000000062e-06,4.68000000000135e-07,-1
2850,22.66,0.9994814,-0.0018,3.9999999999992e-06,4.36000000001435e-07,-1
2900,22.57,0.9995032,-0.00160000000000004,-3.9999999999992e-06,4.0799999999841e-07,-1
2950,22.49,0.9995236,-0.0018,4.00000000000063e-06,3.79999999999825e-07,-1
3000,22.4,0.9995426,-0.00159999999999997,-1.42247325030098e-18,3.58000000000302e-07,-1
3050,22.32,0.9995605,-0.00160000000000004,1.42247325030098e-18,3.34000000001833e-07,-1
3100,22.24,0.9995772,-0.00159999999999997,3.9999999999992e-06,3.13999999999037e-07,-1
3150,22.16,0.9995929,-0.00140000000000001,0,2.94000000000683e-07,-1
3200,22.09,0.9996076,-0.00140000000000001,0,2.78000000000223e-07,-1
3250,22.02,0.9996215,-0.00140000000000001,0,2.57999999999647e-07,-1
3300,21.95,0.9996344,-0.00140000000000001,4.00000000000062e-06,2.44000000000355e-07,-1
3350,21.88,0.9996466,-0.00119999999999997,-4.00000000000062e-06,2.27999999999895e-07,-1
3400,21.82,0.999658,-0.00140000000000001,4.00000000000062e-06,2.1599999999955e-07,-1
3450,21.75,0.9996688,-0.00119999999999997,-1.41813644161104e-18,2.03999999999205e-07,-1
3500,21.69,0.999679,-0.00120000000000005,4.00000000000063e-06,1.94000000000027e-07,-1
3550,21.63,0.9996887,-0.00100000000000001,-3.99999999999921e-06,1.81999999999682e-07,-1
3600,21.58,0.9996978,-0.00119999999999997,3.99999999999921e-06,1.72000000000505e-07,-1
3650,21.52,0.9997064,-0.00100000000000001,1.41813644161104e-18,1.61999999999107e-07,-1
3700,21.47,0.9997145,-0.000999999999999943,-1.41813644161104e-18,1.54000000001098e-07,-1
3750,21.42,0.9997222,-0.00100000000000001,0,1.439999999997e-07,-1
3800,21.37,0.9997294,-0.00100000000000001,4.00000000000062e-06,1.38000000000638e-07,-1
3850,21.32,0.9997363,-0.000799999999999983,-4.00000000000062e-06,1.30000000000408e-07,-1
3900,21.28,0.9997428,-0.00100000000000001,4.00000000000062e-06,1.22000000000178e-07,-1
3950,21.23,0.9997489,-0.000799999999999983,-1.42247325030098e-18,1.15999999998895e-07,-1
4000,21.19,0.9997547,-0.000800000000000054,1.42247325030098e-18,1.09999999999832e-07,-1
4050,21.15,0.9997602,-0.000799999999999983,0,1.01999999999602e-07,-1
4100,21.11,0.9997653,-0.000799999999999983,0,1.00000000000655e-07,-1
4150,21.07,0.9997703,-0.000799999999999983,3.9999999999992e-06,9.60000000005401e-08,-1
4200,21.03,0.9997751,-0.000600000000000023,-3.9999999999992e-06,8.99999999992573e-08,-1
4250,21,0.9997796,-0.000799999999999983,3.9999999999992e-06,8.800000000031e-08,-1
4300,20.96,0.999784,-0.000600000000000023,0,8.19999999990273e-08,-1
4350,20.93,0.9997881,-0.000600000000000023,-3.9999999999992e-06,7.80000000011327e-08,-1
4400,20.9,0.999792,-0.000799999999999983,3.9999999999992e-06,7.39999999987973e-08,-1
4450,20.86,0.9997957,-0.000600000000000023,1.42030484595601e-18,7.199999999985e-08,-1
4500,20.83,0.9997993,-0.000599999999999952,-1.42030484595601e-18,6.80000000019554e-08,-1
4550,20.8,0.9998027,-0.000600000000000023,4.00000000000062e-06,6.59999999985672e-08,-1
4600,20.77,0.999806,-0.000399999999999991,-4.00000000000062e-06,6.20000000006726e-08,-1
4650,20.75,0.9998091,-0.000600000000000023,1.42030484595601e-18,5.99999999995049e-08,-1
4700,20.72,0.9998121,-0.000599999999999952,3.99999999999921e-06,5.59999999993899e-08,-1
4750,20.69,0.9998149,-0.000399999999999991,-1.4213890481285e-18,5.40000000004426e-08,-1
4800,20.67,0.9998176,-0.000400000000000063,-3.99999999999778e-06,5.20000000014953e-08,-1
4850,20.65,0.9998202,-0.000599999999999952,3.99999999999921e-06,4.99999999981071e-08,-1
4900,20.62,0.9998227,-0.000399999999999991,-1.4213890481285e-18,4.80000000013803e-08,-1
4950,20.6,0.9998251,-0.000400000000000063,1.4213890481285e-18,4.60000000002125e-08,-1
5000,20.58,0.9998274,-0.000399999999999991,0,4.39999999990448e-08,-1
5050,20.56,0.9998296,-0.000399999999999991,0,4.40000000012653e-08,-1
5100,20.54,0.9998318,-0.000399999999999991,0,3.99999999989298e-08,-1
5150,20.52,0.9998338,-0.000399999999999991,0,4.00000000011502e-08,-1
5200,20.5,0.9998358,-0.000399999999999991,0,3.59999999988148e-08,-1
5250,20.48,0.9998376,-0.000399999999999991,0,3.39999999998675e-08,-1
5300,20.46,0.9998393,-0.000399999999999991,3.9999999999992e-06,3.39999999998675e-08,-1
5350,20.44,0.999841,-0.000200000000000031,-3.9999999999992e-06,3.20000000009202e-08,-1
5400,20.43,0.9998426,-0.000399999999999991,3.9999999999992e-06,2.99999999997524e-08,-1
5450,20.41,0.9998441,-0.000200000000000031,-3.9999999999992e-06,2.80000000008052e-08,-1
5500,20.4,0.9998455,-0.000399999999999991,4.00000000000062e-06,2.79999999985847e-08,-1
5550,20.38,0.9998469,-0.00019999999999996,-4.00000000000062e-06,2.59999999996374e-08,-1
5600,20.37,0.9998482,-0.000399999999999991,3.9999999999992e-06,2.80000000008052e-08,-1
5650,20.35,0.9998496,-0.000200000000000031,0,2.40000000006901e-08,-1
5700,20.34,0.9998508,-0.000200000000000031,1.42084694704225e-18,2.39999999984697e-08,-1
5750,20.33,0.999852,-0.00019999999999996,-4.00000000000062e-06,2.40000000006901e-08,-1
5800,20.32,0.9998532,-0.000399999999999991,3.9999999999992e-06,2.40000000006901e-08,-1
5850,20.3,0.9998544,-0.000200000000000031,1.42084694704225e-18,2.19999999995224e-08,-1
5900,20.29,0.9998555,-0.00019999999999996,-1.42084694704225e-18,2.40000000006901e-08,-1
5950,20.28,0.9998567,-0.000200000000000031,-3.9999999999992e-06,2.39999999984697e-08,-1
6000,20.27,0.9998579,-0.000399999999999991,3.9999999999992e-06,2.20000000017428e-08,-1
6050,20.25,0.999859,-0.000200000000000031,1.42084694704225e-18,2.19999999995224e-08,-1
6100,20.24,0.9998601,-0.00019999999999996,-1.42084694704225e-18,1.99999999983547e-08,-1
