"t","T","alpha","beta","dbeta_dt","dalpha_dt","sign_beta"
50,30.8,0.98902,0.00019999999999996,4.00000000000062e-06,-8.000000000008e-07,1
100,30.81,0.98898,0.000399999999999991,-3.9999999999992e-06,-1.19999999999898e-06,1
150,30.83,0.98892,0.000200000000000031,-4.00000000000062e-06,-8.000000000008e-07,1
13650,19.94,0.9998851,0.00019999999999996,-3.9999999999992e-06,0,1
14500,19.95,0.9998844,0.000200000000000031,-4.00000000000062e-06,-2.00000000116773e-09,1
14600,19.96,0.9998839,0.00019999999999996,1.42084694704225e-18,-1.40000000015128e-08,1
14650,19.97,0.9998832,0.000200000000000031,3.9999999999992e-06,-2.19999999995224e-08,1
14700,19.98,0.9998821,0.000399999999999991,4.00000000000062e-06,-3.20000000009202e-08,1
14750,20,0.9998805,0.000600000000000023,-1.42030484595601e-18,-4.20000000000975e-08,1
14800,20.03,0.9998784,0.000599999999999952,4.00000000000205e-06,-5.19999999992748e-08,1
14850,20.06,0.9998758,0.000800000000000054,-1.42247325030098e-18,-6.20000000006726e-08,1
14900,20.1,0.9998727,0.000799999999999983,4.00000000000062e-06,-7.39999999987973e-08,1
14950,20.14,0.999869,0.00100000000000001,-1.41813644161104e-18,-8.59999999991423e-08,1
15000,20.19,0.9998647,0.000999999999999943,4.00000000000204e-06,-9.60000000005401e-08,1
15050,20.24,0.9998599,0.00120000000000005,3.9999999999992e-06,-1.09999999999832e-07,1
15100,20.3,0.9998544,0.00140000000000001,0,-1.24000000001345e-07,1
15150,20.37,0.9998482,0.00140000000000001,0,-1.3599999999947e-07,1
15200,20.44,0.9998414,0.00140000000000001,3.9999999999992e-06,-1.49999999998762e-07,1
15250,20.51,0.9998339,0.00159999999999997,4.00000000000063e-06,-1.64000000000275e-07,1
15300,20.59,0.9998257,0.0018,-3.9999999999992e-06,-1.78000000001788e-07,1
15350,20.68,0.9998168,0.00160000000000004,7.99999999999841e-06,-1.94000000000027e-07,1
15400,20.76,0.9998071,0.00199999999999996,-3.99999999999921e-06,-2.0799999999932e-07,1
15450,20.86,0.9997967,0.0018,4.00000000000062e-06,-2.25999999998727e-07,1
15500,20.95,0.9997854,0.00200000000000003,-1.4137996329211e-18,-2.44000000000355e-07,1
15550,21.05,0.9997732,0.00199999999999996,1.4137996329211e-18,-2.61999999999762e-07,1
15600,21.15,0.9997601,0.00200000000000003,3.9999999999992e-06,-2.8000000000139e-07,1
15650,21.25,0.9997461,0.00219999999999999,0,-3.01999999998692e-07,1
15700,21.36,0.999731,0.00219999999999999,0,-3.22000000001488e-07,1
15750,21.47,0.9997149,0.00219999999999999,1.42247325030098e-18,-3.45999999999957e-07,1
15800,21.58,0.9996976,0.00220000000000006,3.99999999999779e-06,-3.65999999998312e-07,1
15850,21.69,0.9996793,0.00239999999999995,-3.99999999999779e-06,-3.94000000001338e-07,1
15900,21.81,0.9996596,0.00220000000000006,3.99999999999779e-06,-4.19999999998755e-07,1
15950,21.92,0.9996386,0.00239999999999995,4.00000000000204e-06,-4.50000000000728e-07,1
16000,22.04,0.9996161,0.00260000000000005,-4.00000000000204e-06,-4.81999999999427e-07,1
16050,22.17,0.999592,0.00239999999999995,4.00000000000204e-06,-5.18000000000463e-07,1
16100,22.29,0.9995661,0.00260000000000005,-1.42247325030098e-18,-5.53999999999277e-07,1
16150,22.42,0.9995384,0.00259999999999998,0,-5.90000000000313e-07,1
16200,22.55,0.9995089,0.00259999999999998,0,-6.30000000001463e-07,1
16250,22.68,0.9994774,0.00259999999999998,4.00000000000063e-06,-6.73999999998287e-07,1
16300,22.81,0.9994437,0.00280000000000001,-4.00000000000063e-06,-7.18000000001773e-07,1
16350,22.95,0.9994078,0.00259999999999998,4.00000000000063e-06,-7.63999999999765e-07,1
16400,23.08,0.9993696,0.00280000000000001,0,-8.1599999999904e-07,1
16450,23.22,0.9993288,0.00280000000000001,0,-8.68000000000535e-07,1
16500,23.36,0.9992854,0.00280000000000001,0,-9.25999999998872e-07,1
16550,23.5,0.9992391,0.00280000000000001,3.9999999999992e-06,-9.8400000000165e-07,1
16600,23.64,0.9991899,0.00299999999999997,-3.9999999999992e-06,-1.04799999999905e-06,1
16650,23.79,0.9991375,0.00280000000000001,0,-1.11399999999984e-06,1
16700,23.93,0.9990818,0.00280000000000001,3.9999999999992e-06,-1.18400000000074e-06,1
16750,24.07,0.9990226,0.00299999999999997,1.42247325030098e-18,-1.25200000000048e-06,1
16800,24.22,0.99896,0.00300000000000004,-1.42247325030098e-18,-1.33999999999856e-06,1
16850,24.37,0.998893,0.00299999999999997,1.42247325030098e-18,-1.42000000000086e-06,1
16900,24.52,0.998822,0.00300000000000004,-1.42247325030098e-18,-1.49999999999872e-06,1
16950,24.67,0.998747,0.00299999999999997,0,-1.6000000000016e-06,1
17000,24.82,0.998667,0.00299999999999997,1.42247325030098e-18,-1.70000000000003e-06,1
17050,24.97,0.998582,0.00300000000000004,-1.42247325030098e-18,-1.78000000000011e-06,1
17100,25.12,0.998493,0.00299999999999997,1.42247325030098e-18,-1.89999999999912e-06,1
17150,25.27,0.998398,0.00300000000000004,-1.42247325030098e-18,-1.99999999999978e-06,1
17200,25.42,0.998298,0.00299999999999997,4.00000000000063e-06,-2.12000000000101e-06,1
17250,25.57,0.998192,0.0032,-4.00000000000063e-06,-2.25999999999837e-06,1
17300,25.73,0.998079,0.00299999999999997,4.00000000000063e-06,-2.38000000000183e-06,1
17350,25.88,0.99796,0.0032,-3.9999999999992e-06,-2.49999999999861e-06,1
17400,26.04,0.997835,0.00300000000000004,3.9999999999992e-06,-2.64000000000042e-06,1
17450,26.19,0.997703,0.0032,-4.00000000000063e-06,-2.80000000000058e-06,1
17500,26.35,0.997563,0.00299999999999997,4.00000000000063e-06,-2.95999999999852e-06,1
17550,26.5,0.997415,0.0032,0,-3.1200000000009e-06,1
17600,26.66,0.997259,0.0032,0,-3.28000000000106e-06,1
17650,26.82,0.997095,0.0032,-4.00000000000063e-06,-3.439999999999e-06,1
17700,26.98,0.996923,0.00299999999999997,4.00000000000063e-06,-3.61999999999973e-06,1
17750,27.13,0.996742,0.0032,0,-3.80000000000047e-06,1
17800,27.29,0.996552,0.0032,0,-4.02000000000013e-06,1
17850,27.45,0.996351,0.0032,-3.9999999999992e-06,-4.21999999999922e-06,1
17900,27.61,0.99614,0.00300000000000004,3.9999999999992e-06,-4.44000000000111e-06,1
17950,27.76,0.995918,0.0032,-1.42247325030098e-18,-4.65999999999855e-06,1
18000,27.92,0.995685,0.00319999999999993,1.42247325030098e-18,-4.90000000000101e-06,1
18050,28.08,0.99544,0.0032,0,-5.13999999999903e-06,1
18100,28.24,0.995183,0.0032,0,-5.38000000000149e-06,1
18150,28.4,0.994914,0.0032,0,-5.64000000000009e-06,1
18200,28.56,0.994632,0.0032,0,-5.89999999999868e-06,1
18250,28.72,0.994337,0.0032,0,-6.20000000000065e-06,1
18300,28.88,0.994027,0.0032,0,-6.47999999999982e-06,1
18350,29.04,0.993703,0.0032,0,-6.75999999999899e-06,1
18400,29.2,0.993365,0.0032,-3.9999999999992e-06,-7.04000000000038e-06,1
18450,29.36,0.993013,0.00300000000000004,3.9999999999992e-06,-7.34000000000012e-06,1
18500,29.51,0.992646,0.0032,-1.42247325030098e-18,-7.68000000000102e-06,1
18550,29.67,0.992262,0.00319999999999993,1.42247325030098e-18,-7.99999999999912e-06,1
18600,29.83,0.991862,0.0032,0,-8.34000000000001e-06,1
18650,29.99,0.991445,0.0032,0,-8.68000000000091e-06,1
18700,30.15,0.991011,0.0032,-3.9999999999992e-06,-8.99999999999901e-06,1
18750,30.31,0.990561,0.00300000000000004,3.9999999999992e-06,-9.38000000000105e-06,1
18800,30.46,0.990092,0.0032,0,-9.83999999999874e-06,1
18850,30.62,0.9896,0.0032,0,-1.00000000000011e-05,1
18900,30.78,0.9891,0.0032,-4.00000000000063e-06,-1.06000000000006e-05,1
18950,30.94,0.98857,0.00299999999999997,4.00000000000063e-06,-1.07999999999997e-05,1
19000,31.09,0.98803,0.0032,-4.00000000000063e-06,-1.13999999999992e-05,1
19050,31.25,0.98746,0.00299999999999997,4.00000000000063e-06,-1.16000000000005e-05,1
19100,31.4,0.98688,0.0032,0,-1.22e-05,1
19150,31.56,0.98627,0.0032,-3.9999999999992e-06,-1.26000000000004e-05,1
19200,31.72,0.98564,0.00300000000000004,3.9999999999992e-06,-1.29999999999986e-05,1
19250,31.87,0.98499,0.0032,-1.42247325030098e-18,-1.36000000000003e-05,1
19300,32.03,0.98431,0.00319999999999993,-3.99999999999636e-06,-1.41999999999998e-05,1
19350,32.19,0.9836,0.00300000000000011,3.99999999999636e-06,-1.44000000000011e-05,1
19400,32.34,0.98288,0.00319999999999993,0,-1.50000000000006e-05,1
19450,32.5,0.98213,0.00319999999999993,-3.99999999999636e-06,-1.56000000000001e-05,1
19500,32.66,0.98135,0.00300000000000011,3.99999999999636e-06,-1.61999999999995e-05,1
19550,32.81,0.98054,0.00319999999999993,-3.9999999999992e-06,-1.65999999999999e-05,1
19600,32.97,0.97971,0.00299999999999997,4.00000000000205e-06,-1.71999999999994e-05,1
19650,33.12,0.97885,0.00320000000000007,-2.84494650060196e-18,-1.75999999999998e-05,1
19700,33.28,0.97797,0.00319999999999993,-3.99999999999636e-06,-1.84000000000006e-05,1
19750,33.44,0.97705,0.00300000000000011,3.99999999999636e-06,-1.87999999999988e-05,1
19800,33.59,0.97611,0.00319999999999993,-3.9999999999992e-06,-1.92000000000014e-05,1
19850,33.75,0.97515,0.00299999999999997,4.00000000000205e-06,-2e-05,1
19900,33.9,0.97415,0.00320000000000007,-4.00000000000205e-06,-2.03999999999982e-05,1
19950,34.06,0.97313,0.00299999999999997,3.9999999999992e-06,-2.09999999999999e-05,1
20000,34.21,0.97208,0.00319999999999993,-3.99999999999636e-06,-2.18000000000007e-05,1
20050,34.37,0.97099,0.00300000000000011,-2.84494650060196e-18,-2.22000000000011e-05,1
20100,34.52,0.96988,0.00299999999999997,3.9999999999992e-06,-2.27999999999984e-05,1
20150,34.67,0.96874,0.00319999999999993,-3.9999999999992e-06,-2.34000000000001e-05,1
20200,34.83,0.96757,0.00299999999999997,2.84494650060196e-18,-2.40000000000018e-05,1
20250,34.98,0.96637,0.00300000000000011,3.99999999999636e-06,-2.45999999999991e-05,1
20300,35.13,0.96514,0.00319999999999993,-3.9999999999992e-06,-2.53999999999999e-05,1
20350,35.29,0.96387,0.00299999999999997,2.84494650060196e-18,-2.58000000000003e-05,1
20400,35.44,0.96258,0.00300000000000011,3.99999999999636e-06,-2.65999999999988e-05,1
20450,35.59,0.96125,0.00319999999999993,-3.9999999999992e-06,-2.72000000000006e-05,1
20500,35.75,0.95989,0.00299999999999997,0,-2.78e-05,1
20550,35.9,0.9585,0.00299999999999997,2.84494650060196e-18,-2.83999999999995e-05,1
20600,36.05,0.95708,0.00300000000000011,-2.84494650060196e-18,-2.92000000000003e-05,1
20650,36.2,0.95562,0.00299999999999997,3.9999999999992e-06,-2.97999999999998e-05,1
